,Unnamed: 0,snapshots_url,snapshots,snapshots_date,total_cap
0,4,https://coinmarketcap.com/historical/20130428/,20130428,2013-04-28,1580539630.35
1,5,https://coinmarketcap.com/historical/20130505/,20130505,2013-05-05,1370199003.4
2,6,https://coinmarketcap.com/historical/20130512/,20130512,2013-05-12,1354369538.88
3,7,https://coinmarketcap.com/historical/20130519/,20130519,2013-05-19,1436193993.89
4,8,https://coinmarketcap.com/historical/20130526/,20130526,2013-05-26,1567802504.65
5,9,https://coinmarketcap.com/historical/20130602/,20130602,2013-06-02,1434404291.98
6,10,https://coinmarketcap.com/historical/20130609/,20130609,2013-06-09,1180027315.27
7,11,https://coinmarketcap.com/historical/20130616/,20130616,2013-06-16,1172001399.77
8,12,https://coinmarketcap.com/historical/20130623/,20130623,2013-06-23,1286553341.84
9,13,https://coinmarketcap.com/historical/20130630/,20130630,2013-06-30,1162215701.07
10,14,https://coinmarketcap.com/historical/20130707/,20130707,2013-07-07,908389680.135
11,15,https://coinmarketcap.com/historical/20130714/,20130714,2013-07-14,1148117352.71
12,16,https://coinmarketcap.com/historical/20130721/,20130721,2013-07-21,1107170046.53
13,17,https://coinmarketcap.com/historical/20130728/,20130728,2013-07-28,1216231910.25
14,18,https://coinmarketcap.com/historical/20130804/,20130804,2013-08-04,1330414650.69
15,19,https://coinmarketcap.com/historical/20130811/,20130811,2013-08-11,1315834292.69
16,20,https://coinmarketcap.com/historical/20130818/,20130818,2013-08-18,1430865290.44
17,21,https://coinmarketcap.com/historical/20130825/,20130825,2013-08-25,1534051440.3
18,22,https://coinmarketcap.com/historical/20130901/,20130901,2013-09-01,1724710312.95
19,23,https://coinmarketcap.com/historical/20130908/,20130908,2013-09-08,1540505539.98
20,24,https://coinmarketcap.com/historical/20130915/,20130915,2013-09-15,1647702704.93
21,25,https://coinmarketcap.com/historical/20130922/,20130922,2013-09-22,1666355703.52
22,26,https://coinmarketcap.com/historical/20130929/,20130929,2013-09-29,1782856803.9
23,27,https://coinmarketcap.com/historical/20131006/,20131006,2013-10-06,1668019191.59
24,28,https://coinmarketcap.com/historical/20131013/,20131013,2013-10-13,1770302517.26
25,29,https://coinmarketcap.com/historical/20131020/,20131020,2013-10-20,2186972870.65
26,30,https://coinmarketcap.com/historical/20131027/,20131027,2013-10-27,2460172478.93
27,31,https://coinmarketcap.com/historical/20131103/,20131103,2013-11-03,2711949904.92
28,32,https://coinmarketcap.com/historical/20131110/,20131110,2013-11-10,4097264192.58
29,33,https://coinmarketcap.com/historical/20131117/,20131117,2013-11-17,6114198642.46
30,34,https://coinmarketcap.com/historical/20131124/,20131124,2013-11-24,9755373369.15
31,35,https://coinmarketcap.com/historical/20131201/,20131201,2013-12-01,13205657038.3
32,36,https://coinmarketcap.com/historical/20131208/,20131208,2013-12-08,10847722366.6
33,37,https://coinmarketcap.com/historical/20131215/,20131215,2013-12-15,11971130790.1
34,38,https://coinmarketcap.com/historical/20131222/,20131222,2013-12-22,8340063802.69
35,39,https://coinmarketcap.com/historical/20131229/,20131229,2013-12-29,10364136025.6
36,40,https://coinmarketcap.com/historical/20140105/,20140105,2014-01-05,12819602153.6
37,41,https://coinmarketcap.com/historical/20140112/,20140112,2014-01-12,11839467500.6
38,42,https://coinmarketcap.com/historical/20140119/,20140119,2014-01-19,11995982178.4
39,43,https://coinmarketcap.com/historical/20140126/,20140126,2014-01-26,12221565972.0
40,44,https://coinmarketcap.com/historical/20140202/,20140202,2014-02-02,11440284709.2
41,45,https://coinmarketcap.com/historical/20140209/,20140209,2014-02-09,9480812326.91
42,46,https://coinmarketcap.com/historical/20140216/,20140216,2014-02-16,8613027065.45
43,47,https://coinmarketcap.com/historical/20140223/,20140223,2014-02-23,8489782281.11
44,48,https://coinmarketcap.com/historical/20140302/,20140302,2014-03-02,8013153290.66
45,49,https://coinmarketcap.com/historical/20140309/,20140309,2014-03-09,9130209086.18
46,50,https://coinmarketcap.com/historical/20140316/,20140316,2014-03-16,8990744018.68
47,51,https://coinmarketcap.com/historical/20140323/,20140323,2014-03-23,8077603735.04
48,52,https://coinmarketcap.com/historical/20140330/,20140330,2014-03-30,6483563641.74
49,53,https://coinmarketcap.com/historical/20140406/,20140406,2014-04-06,6443209380.15
50,54,https://coinmarketcap.com/historical/20140413/,20140413,2014-04-13,5773763822.22
51,55,https://coinmarketcap.com/historical/20140420/,20140420,2014-04-20,7026343981.87
52,56,https://coinmarketcap.com/historical/20140427/,20140427,2014-04-27,6085317610.3
53,57,https://coinmarketcap.com/historical/20140504/,20140504,2014-05-04,6121623435.54
54,58,https://coinmarketcap.com/historical/20140511/,20140511,2014-05-11,6184299437.62
55,59,https://coinmarketcap.com/historical/20140518/,20140518,2014-05-18,6311232380.16
56,60,https://coinmarketcap.com/historical/20140525/,20140525,2014-05-25,8026424000.77
57,61,https://coinmarketcap.com/historical/20140601/,20140601,2014-06-01,8781007698.8
58,62,https://coinmarketcap.com/historical/20140608/,20140608,2014-06-08,9131226843.89
59,63,https://coinmarketcap.com/historical/20140615/,20140615,2014-06-15,8313954391.61
60,64,https://coinmarketcap.com/historical/20140622/,20140622,2014-06-22,8441078397.35
61,65,https://coinmarketcap.com/historical/20140629/,20140629,2014-06-29,8410122136.88
62,66,https://coinmarketcap.com/historical/20140706/,20140706,2014-07-06,8783107083.84
63,67,https://coinmarketcap.com/historical/20140713/,20140713,2014-07-13,8726550979.16
64,68,https://coinmarketcap.com/historical/20140720/,20140720,2014-07-20,8717353225.07
65,69,https://coinmarketcap.com/historical/20140727/,20140727,2014-07-27,8306483994.17
66,70,https://coinmarketcap.com/historical/20140803/,20140803,2014-08-03,8226645744.65
67,71,https://coinmarketcap.com/historical/20140810/,20140810,2014-08-10,8250570691.26
68,72,https://coinmarketcap.com/historical/20140817/,20140817,2014-08-17,6831547435.64
69,73,https://coinmarketcap.com/historical/20140824/,20140824,2014-08-24,7155233145.37
70,74,https://coinmarketcap.com/historical/20140831/,20140831,2014-08-31,6842547424.04
71,75,https://coinmarketcap.com/historical/20140907/,20140907,2014-09-07,6949670574.76
72,76,https://coinmarketcap.com/historical/20140914/,20140914,2014-09-14,6957646532.64
73,77,https://coinmarketcap.com/historical/20140921/,20140921,2014-09-21,5851150612.57
74,78,https://coinmarketcap.com/historical/20140928/,20140928,2014-09-28,5598840982.46
75,79,https://coinmarketcap.com/historical/20141005/,20141005,2014-10-05,4784435401.03
76,80,https://coinmarketcap.com/historical/20141012/,20141012,2014-10-12,5599908480.17
77,81,https://coinmarketcap.com/historical/20141019/,20141019,2014-10-19,5756606933.46
78,82,https://coinmarketcap.com/historical/20141026/,20141026,2014-10-26,5250798118.89
79,83,https://coinmarketcap.com/historical/20141102/,20141102,2014-11-02,4836910557.0
80,84,https://coinmarketcap.com/historical/20141109/,20141109,2014-11-09,5393947399.64
81,85,https://coinmarketcap.com/historical/20141116/,20141116,2014-11-16,5751933174.52
82,86,https://coinmarketcap.com/historical/20141123/,20141123,2014-11-23,5596789572.33
83,87,https://coinmarketcap.com/historical/20141130/,20141130,2014-11-30,5838450830.22
84,88,https://coinmarketcap.com/historical/20141207/,20141207,2014-12-07,5934147853.29
85,89,https://coinmarketcap.com/historical/20141214/,20141214,2014-12-14,5671929015.54
86,90,https://coinmarketcap.com/historical/20141221/,20141221,2014-12-21,5593482349.3
87,91,https://coinmarketcap.com/historical/20141228/,20141228,2014-12-28,5555954556.75
88,92,https://coinmarketcap.com/historical/20150104/,20150104,2015-01-04,4524803225.46
89,93,https://coinmarketcap.com/historical/20150111/,20150111,2015-01-11,4525570551.4
90,94,https://coinmarketcap.com/historical/20150118/,20150118,2015-01-18,3630639157.17
91,95,https://coinmarketcap.com/historical/20150125/,20150125,2015-01-25,4314399924.74
92,96,https://coinmarketcap.com/historical/20150201/,20150201,2015-02-01,3823889045.33
93,97,https://coinmarketcap.com/historical/20150208/,20150208,2015-02-08,3790634066.96
94,98,https://coinmarketcap.com/historical/20150215/,20150215,2015-02-15,3931737192.22
95,99,https://coinmarketcap.com/historical/20150222/,20150222,2015-02-22,3931721722.04
96,100,https://coinmarketcap.com/historical/20150301/,20150301,2015-03-01,4275721646.03
97,101,https://coinmarketcap.com/historical/20150308/,20150308,2015-03-08,4395371185.0
98,102,https://coinmarketcap.com/historical/20150315/,20150315,2015-03-15,4600648054.34
99,103,https://coinmarketcap.com/historical/20150322/,20150322,2015-03-22,4328049441.88
100,104,https://coinmarketcap.com/historical/20150329/,20150329,2015-03-29,3911397012.81
101,105,https://coinmarketcap.com/historical/20150405/,20150405,2015-04-05,4176153524.08
102,106,https://coinmarketcap.com/historical/20150412/,20150412,2015-04-12,3806294241.69
103,107,https://coinmarketcap.com/historical/20150419/,20150419,2015-04-19,3588510416.21
104,108,https://coinmarketcap.com/historical/20150426/,20150426,2015-04-26,3537377348.53
105,109,https://coinmarketcap.com/historical/20150503/,20150503,2015-05-03,3855801733.53
106,110,https://coinmarketcap.com/historical/20150510/,20150510,2015-05-10,3835504144.53
107,111,https://coinmarketcap.com/historical/20150517/,20150517,2015-05-17,3771858230.0
108,112,https://coinmarketcap.com/historical/20150524/,20150524,2015-05-24,3896694067.19
109,113,https://coinmarketcap.com/historical/20150531/,20150531,2015-05-31,3791216679.87
110,114,https://coinmarketcap.com/historical/20150607/,20150607,2015-06-07,3685794675.63
111,115,https://coinmarketcap.com/historical/20150614/,20150614,2015-06-14,3871700894.73
112,116,https://coinmarketcap.com/historical/20150621/,20150621,2015-06-21,4161447206.95
113,117,https://coinmarketcap.com/historical/20150628/,20150628,2015-06-28,4283642643.51
114,118,https://coinmarketcap.com/historical/20150705/,20150705,2015-07-05,4658450319.15
115,119,https://coinmarketcap.com/historical/20150712/,20150712,2015-07-12,5219337665.48
116,120,https://coinmarketcap.com/historical/20150719/,20150719,2015-07-19,4576642292.57
117,121,https://coinmarketcap.com/historical/20150726/,20150726,2015-07-26,4915000093.24
118,122,https://coinmarketcap.com/historical/20150802/,20150802,2015-08-02,4744698302.4
119,123,https://coinmarketcap.com/historical/20150809/,20150809,2015-08-09,4529140447.67
120,124,https://coinmarketcap.com/historical/20150816/,20150816,2015-08-16,4473592886.56
121,125,https://coinmarketcap.com/historical/20150823/,20150823,2015-08-23,3967481322.8
122,126,https://coinmarketcap.com/historical/20150830/,20150830,2015-08-30,3978413864.13
123,127,https://coinmarketcap.com/historical/20150906/,20150906,2015-09-06,4155910108.2
124,128,https://coinmarketcap.com/historical/20150913/,20150913,2015-09-13,3999949984.71
125,129,https://coinmarketcap.com/historical/20150920/,20150920,2015-09-20,3998677984.3
126,130,https://coinmarketcap.com/historical/20150927/,20150927,2015-09-27,3973118537.69
127,131,https://coinmarketcap.com/historical/20151004/,20151004,2015-10-04,4014731717.14
128,132,https://coinmarketcap.com/historical/20151011/,20151011,2015-10-11,4154100077.44
129,133,https://coinmarketcap.com/historical/20151018/,20151018,2015-10-18,4343814537.27
130,134,https://coinmarketcap.com/historical/20151025/,20151025,2015-10-25,4669373113.81
131,135,https://coinmarketcap.com/historical/20151101/,20151101,2015-11-01,5396905747.04
132,136,https://coinmarketcap.com/historical/20151108/,20151108,2015-11-08,6076053512.35
133,137,https://coinmarketcap.com/historical/20151115/,20151115,2015-11-15,5238256456.77
134,138,https://coinmarketcap.com/historical/20151122/,20151122,2015-11-22,5322303023.03
135,139,https://coinmarketcap.com/historical/20151129/,20151129,2015-11-29,6057077058.78
136,140,https://coinmarketcap.com/historical/20151206/,20151206,2015-12-06,6360444833.94
137,141,https://coinmarketcap.com/historical/20151213/,20151213,2015-12-13,7187404257.86
138,142,https://coinmarketcap.com/historical/20151220/,20151220,2015-12-20,7233875600.82
139,143,https://coinmarketcap.com/historical/20151227/,20151227,2015-12-27,6946919350.88
140,144,https://coinmarketcap.com/historical/20160103/,20160103,2016-01-03,7072333471.51
141,145,https://coinmarketcap.com/historical/20160110/,20160110,2016-01-10,7365356425.72
142,146,https://coinmarketcap.com/historical/20160117/,20160117,2016-01-17,6374347809.49
143,147,https://coinmarketcap.com/historical/20160124/,20160124,2016-01-24,6782434613.74
144,148,https://coinmarketcap.com/historical/20160131/,20160131,2016-01-31,6343030166.21
145,149,https://coinmarketcap.com/historical/20160207/,20160207,2016-02-07,6606262566.43
146,150,https://coinmarketcap.com/historical/20160214/,20160214,2016-02-14,7324291251.85
147,151,https://coinmarketcap.com/historical/20160221/,20160221,2016-02-21,7770624076.46
148,152,https://coinmarketcap.com/historical/20160228/,20160228,2016-02-28,7843230038.64
149,153,https://coinmarketcap.com/historical/20160306/,20160306,2016-03-06,7852682166.52
150,154,https://coinmarketcap.com/historical/20160313/,20160313,2016-03-13,8281041901.28
151,155,https://coinmarketcap.com/historical/20160320/,20160320,2016-03-20,7929800427.24
152,156,https://coinmarketcap.com/historical/20160327/,20160327,2016-03-27,8194051976.01
153,157,https://coinmarketcap.com/historical/20160403/,20160403,2016-04-03,8210458888.07
154,158,https://coinmarketcap.com/historical/20160410/,20160410,2016-04-10,7914465746.31
155,159,https://coinmarketcap.com/historical/20160417/,20160417,2016-04-17,8072218462.1
156,160,https://coinmarketcap.com/historical/20160424/,20160424,2016-04-24,8520778723.38
157,161,https://coinmarketcap.com/historical/20160501/,20160501,2016-05-01,8464574156.24
158,162,https://coinmarketcap.com/historical/20160508/,20160508,2016-05-08,8647362695.14
159,163,https://coinmarketcap.com/historical/20160515/,20160515,2016-05-15,8672846621.43
160,164,https://coinmarketcap.com/historical/20160522/,20160522,2016-05-22,8761443964.32
161,165,https://coinmarketcap.com/historical/20160529/,20160529,2016-05-29,10165094504.3
162,166,https://coinmarketcap.com/historical/20160605/,20160605,2016-06-05,11126523645.3
163,167,https://coinmarketcap.com/historical/20160612/,20160612,2016-06-12,12886457674.6
164,168,https://coinmarketcap.com/historical/20160619/,20160619,2016-06-19,14102795200.5
165,169,https://coinmarketcap.com/historical/20160626/,20160626,2016-06-26,12081575945.9
166,170,https://coinmarketcap.com/historical/20160703/,20160703,2016-07-03,12456490899.0
167,171,https://coinmarketcap.com/historical/20160710/,20160710,2016-07-10,12290650465.0
168,172,https://coinmarketcap.com/historical/20160717/,20160717,2016-07-17,13086093814.2
